step,Customer,age,gender,merchant,category,amount,fraud
0,1093826151,4,0,348934600,10,4.55,0
0,352968107,2,0,348934600,10,39.68,0
0,2054744914,4,1,1823072687,10,26.89,0
0,1760612790,3,0,348934600,10,17.25,0
0,757503768,5,0,348934600,10,35.72,0
0,1315400589,3,1,348934600,10,25.81,0
0,765155274,1,1,348934600,10,9.1,0
0,202531238,4,1,348934600,10,21.17,0
0,105845174,3,0,348934600,10,32.4,0
0,39858251,5,1,348934600,10,35.4,0
0,98707741,4,1,348934600,10,14.95,0
0,1551465414,1,0,1823072687,10,1.51,0
0,623601481,3,0,50039827,21,68.79,0
0,1865204568,5,0,1823072687,10,20.32,0
0,490238464,3,0,348934600,10,13.56,0
0,194016923,3,1,348934600,10,30.19,0
0,1207205377,4,0,1823072687,10,17.54,0
0,834963773,5,1,348934600,10,40.69,0
0,1897705669,2,0,348934600,10,21.21,0
0,124539163,2,1,348934600,10,10.09,0
0,1687101094,2,1,348934600,10,19.31,0
0,1695454092,2,0,348934600,10,44.22,0
0,986553990,5,1,348934600,10,44.39,0
0,819690995,5,1,348934600,10,30.72,0
0,1622124632,2,0,348934600,10,29.84,0
0,187514477,3,0,348934600,10,12.1,0
0,272748313,4,0,348934600,10,24.84,0
0,490092965,2,0,348934600,10,16.42,0
0,546957379,5,0,348934600,10,2.19,0
0,1563705147,5,1,348934600,10,32.27,0
0,1273110804,4,0,348934600,10,28.09,0
0,1582366224,5,0,1823072687,10,16.13,0
0,998987490,2,1,348934600,10,32.7,0
0,1413412440,2,1,348934600,10,25.53,0
0,1166355595,4,1,348934600,10,39.22,0
0,719598710,5,1,348934600,10,46.14,0
0,1161949399,2,0,348934600,10,29.55,0
0,60351691,2,1,1823072687,10,36.88,0
0,1769927077,2,1,348934600,10,36.15,0
0,995844287,5,1,348934600,10,2.81,0
0,1425441042,2,0,1888755466,18,87.67,0
0,337109624,2,1,1823072687,10,11.17,0
0,1635613216,4,1,1053599405,21,105.59,0
0,996804095,3,0,348934600,10,15.25,0
0,1331907286,2,0,348934600,10,33.36,0
0,506520283,4,1,348934600,10,32.96,0
0,83613815,2,1,348934600,10,16.96,0
0,1697528836,3,1,1823072687,10,49.91,0
0,168310052,2,0,348934600,10,0.93,0
0,2096367617,2,0,348934600,10,37.71,0
0,1870872671,2,1,1823072687,10,12.53,0
0,823286801,2,1,348934600,10,56.97,0
0,1038996959,2,0,348934600,10,31.32,0
0,345742557,5,1,348934600,10,21.15,0
0,638163213,1,1,348934600,10,3.12,0
0,1941625566,3,1,348934600,10,33.41,0
0,1180570487,6,1,1823072687,10,45.92,0
0,51444479,3,0,348934600,10,36.82,0
0,153419170,3,1,1823072687,10,20.05,0
0,574062699,2,0,348934600,10,43.75,0
0,1087788850,4,0,348934600,10,44.88,0
0,2126436338,1,1,348934600,10,18.45,0
0,1820855004,2,1,348934600,10,29.66,0
0,487569403,2,0,348934600,10,28.38,0
0,923875417,5,1,348934600,10,62.76,0
0,579037870,6,0,348934600,10,21.6,0
0,662931726,2,1,348934600,10,30.74,0
0,671524709,5,1,348934600,10,58.33,0
0,476477241,4,0,348934600,10,44.07,0
0,327430270,5,1,348934600,10,6.52,0
0,1879341237,4,0,1823072687,10,2.96,0
0,1655037147,2,1,348934600,10,44.69,0
0,864655240,2,1,1823072687,10,5.01,0
0,72353846,2,0,348934600,10,9.74,0
0,1591908890,2,0,348934600,10,10.1,0
0,1156346576,4,1,348934600,10,58.64,0
0,1771717627,2,1,348934600,10,29.2,0
0,156162339,2,1,85975013,11,32.6,0
0,588719767,2,0,348934600,10,52.35,0
0,118437987,2,0,1053599405,21,159.92,0
0,1130259702,3,0,348934600,10,26.37,0
0,1738944491,2,0,348934600,10,49.07,0
0,1950723662,2,1,348934600,10,35.74,0
0,1987405562,5,1,1823072687,10,47.53,0
0,1988407051,5,0,348934600,10,29.87,0
0,1698653726,2,0,348934600,10,20.31,0
0,1952040134,3,1,348934600,10,10.59,0
0,1769470125,2,1,348934600,10,21.92,0
0,603564532,1,0,1823072687,10,26.07,0
0,2072009750,2,1,348934600,10,10.88,0
0,545248492,4,0,348934600,10,8.05,0
0,1055224400,3,1,348934600,10,25.59,0
0,1619755203,5,1,348934600,10,15.26,0
0,1697851479,3,0,348934600,10,20.73,0
0,1255236689,1,1,348934600,10,68.17,0
0,603081336,3,1,348934600,10,34.75,0
0,274486575,2,1,692898500,21,171.07,0
0,1569939854,6,1,348934600,10,50.31,0
0,648063518,3,0,348934600,10,17.87,0
0,1488142454,2,1,348934600,10,5.96,0
0,384665757,3,1,1823072687,10,13.08,0
0,131559770,6,1,348934600,10,51.99,0
0,1547534233,2,1,348934600,10,9.54,0
0,76969430,2,0,1823072687,10,61.33,0
0,896887653,3,0,348934600,10,47.72,0
