step,Customer,age,gender,merchant,category,amount,fraud
0,,4,0,348934600,10,1004.55,0
0,,2,0,348934600,10,1039.68,0
0,,4,1,1823072687,10,1026.89,0
0,,3,0,348934600,10,1017.25,0
0,,5,0,348934600,10,1035.72,0
0,,3,1,348934600,10,1025.81,0
0,,1,1,348934600,10,1009.1,0
0,,4,1,348934600,10,1021.17,0
0,,3,0,348934600,10,1032.4,0
0,,5,1,348934600,10,1035.4,0
0,0,,1,348934600,10,1014.95,0
0,0,,0,1823072687,10,1001.51,0
0,0,,0,50039827,21,1068.79,0
0,0,,0,1823072687,10,1020.32,0
0,0,,0,348934600,10,1013.56,0
0,0,,1,348934600,10,1030.19,0
0,0,,0,1823072687,10,1017.54,0
0,0,,1,348934600,10,1040.69,0
0,0,,0,348934600,10,1021.21,0
0,0,,1,348934600,10,1010.09,0
0,0,,1,348934600,10,1019.31,0
0,1695454092,0,,348934600,10,1044.22,0
0,986553990,0,,348934600,10,1044.39,0
0,819690995,0,,348934600,10,1030.72,0
0,1622124632,0,,348934600,10,1029.84,0
0,187514477,0,,348934600,10,1012.1,0
0,272748313,0,,348934600,10,1024.84,0
0,490092965,0,,348934600,10,1016.42,0
0,546957379,0,,348934600,10,1002.19,0
0,1563705147,0,,348934600,10,1032.27,0
0,1273110804,0,,348934600,10,1028.09,0
0,1582366224,0,,1823072687,10,1016.13,0
0,998987490,2,0,,10,1032.7,0
0,1413412440,2,0,,10,1025.53,0
0,1166355595,4,0,,10,1039.22,0
0,719598710,5,0,,10,1046.14,0
0,1161949399,2,0,,10,1029.55,0
0,60351691,2,0,,10,1036.88,0
0,1769927077,2,0,,10,1036.15,0
0,995844287,5,0,,10,1002.81,0
0,1425441042,2,0,,18,1087.67,0
0,337109624,2,0,,10,1011.17,0
0,1635613216,4,0,,21,1105.59,0
0,996804095,3,0,0,,1015.25,0
0,1331907286,2,0,0,,1033.36,0
0,506520283,4,1,0,,1032.96,0
0,83613815,2,1,0,,1016.96,0
0,1697528836,3,1,0,,1049.91,0
0,168310052,2,0,0,,1000.93,0
0,2096367617,2,0,0,,1037.71,0
0,1870872671,2,1,0,,1012.53,0
0,823286801,2,1,0,,1056.97,0
