Income,Recency,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall,Response
58138,58,8,10,4,63,2822,1529,1441,0,1
46344,38,1,1,2,66,2272,21,15,0,0
71613,26,8,2,10,55,2471,734,692,0,0
26646,26,2,0,4,36,2298,48,43,0,0
58293,94,5,3,6,39,2320,407,392,0,0
62513,16,6,4,10,53,2452,702,688,0,0
55635,34,7,3,7,49,2752,563,536,0,0
33454,32,4,0,4,35,2576,146,123,0,0
30351,19,3,0,2,46,2547,44,42,0,1
5648,68,1,0,0,70,2267,36,23,1,0
7500,59,2,0,3,44,2752,45,29,0,0
63033,82,3,4,8,61,2385,1072,1042,0,0
59354,53,6,1,5,68,2385,296,282,0,0
17323,38,1,0,3,33,2786,41,36,0,0
82800,23,7,6,12,74,2741,1270,1225,2,1
41850,51,3,0,3,40,2711,92,88,0,0
37760,20,4,1,6,74,2826,289,261,0,0
76995,91,11,4,9,71,2617,1606,1430,1,0
33812,86,2,1,3,35,2762,94,55,0,0
37040,41,4,2,5,38,2849,268,220,0,0
2447,42,0,28,0,41,2698,1729,1728,0,0
58607,63,2,3,9,71,2712,953,934,1,0
65324,0,6,2,9,66,2328,539,534,0,0
40689,69,7,1,5,69,2627,345,246,0,0
18589,89,2,1,3,51,2702,62,49,0,0
53359,4,5,1,4,44,2557,216,175,0,0
38360,26,2,1,4,31,2553,121,111,0,0
84618,96,6,9,10,55,2378,1672,1672,1,0
10979,34,3,0,3,31,2197,26,22,0,0
38620,56,2,5,3,57,2573,229,140,0,0
40548,31,2,1,4,50,2786,117,114,1,0
46610,8,4,1,6,68,2767,259,216,0,1
68657,4,3,5,9,74,2653,1174,1152,0,0
49389,55,2,0,3,69,2463,62,59,0,0
67353,37,5,6,12,50,2339,878,843,0,0
23718,76,3,1,2,44,2459,45,9,0,0
42429,99,1,1,3,47,2297,63,59,0,0
48948,53,7,10,5,77,2672,860,818,1,1
80011,3,8,6,5,40,2585,1293,1191,0,0
20559,88,2,0,3,35,2633,46,39,0,0
21994,4,0,0,3,63,2711,19,16,0,0
7500,19,2,0,3,45,2429,19,7,0,0
79941,72,2,4,9,44,2160,810,636,0,0
7500,24,3,1,3,24,2756,72,22,0,1
41728,92,2,0,2,52,2560,42,29,0,0
72550,39,5,2,12,66,2757,1281,1243,0,0
65486,29,4,2,10,63,2207,493,479,0,0
79143,2,6,9,13,56,2846,1661,1629,0,0
35790,54,2,0,3,43,2702,69,66,0,0
82582,54,4,9,7,43,2181,1376,1135,2,1
66373,57,4,2,10,42,2541,497,388,0,0
82384,55,3,10,13,65,2746,1767,1577,1,1
70287,30,5,5,10,54,2612,1053,1013,0,1
27938,31,1,0,4,32,2221,24,19,0,0
55954,63,8,2,6,52,2277,475,432,0,0
75777,12,3,6,11,38,2519,1358,1278,2,1
66653,18,4,2,12,45,2819,606,600,0,0
61823,26,8,2,10,68,2655,715,546,0,0
67680,8,7,3,8,69,2542,600,594,0,0
70666,29,7,4,4,72,2364,1046,1016,0,0
25721,75,1,1,2,49,2563,19,4,0,1
32474,0,1,0,2,53,2208,11,11,0,0
88194,19,11,10,10,41,2261,1236,1198,2,1
69096,4,5,2,10,62,2434,544,435,0,0
74854,90,2,5,5,50,2606,1489,1416,0,0
66991,1,4,8,6,66,2815,1241,1229,0,0
65031,29,10,3,13,61,2628,777,691,0,0
60631,88,9,2,8,45,2609,642,623,1,0
28332,58,2,1,4,68,2219,56,47,0,0
40246,68,1,0,2,43,2716,12,11,0,0
75251,34,7,6,5,48,2830,1872,1854,0,1
75825,40,5,8,9,44,2784,2158,2107,1,1
26326,12,0,0,3,44,2457,9,0,0,0
56046,9,10,1,8,55,2702,641,590,1,1
29760,87,3,1,4,35,2828,148,131,0,0
26304,5,1,0,2,51,2530,12,8,0,0
23559,87,3,0,3,47,2520,56,33,0,0
38620,56,2,5,3,57,2573,229,140,0,0
81361,18,3,10,13,33,2283,702,626,0,0
29440,95,1,0,4,60,2481,53,50,0,0
36138,48,3,1,4,50,2507,146,141,1,0
50388,3,6,1,6,63,2191,338,304,2,1
79593,70,5,6,7,47,2207,1221,1076,1,0
54178,79,2,2,5,53,2318,187,180,0,0
42394,69,1,0,3,48,2257,28,24,0,0
23626,84,3,1,3,50,2195,43,43,0,0
30096,30,2,0,3,37,2197,36,27,0,0
47916,72,7,4,6,60,2743,531,456,1,0
51813,37,2,0,3,48,2603,61,59,0,0
78497,44,5,7,12,69,2369,755,532,1,0
50150,32,5,2,7,37,2533,399,388,0,0
47823,0,2,0,3,60,2500,62,52,0,0
34554,43,2,0,3,61,2250,50,45,0,0
85693,59,9,5,11,41,2594,1058,947,0,0
65846,68,6,3,6,75,2567,1039,958,0,0
87195,35,3,11,5,61,2211,1059,1021,0,1
24594,94,1,0,3,41,2360,20,11,0,0
49096,15,4,1,4,56,2437,180,173,0,0
52413,56,6,4,12,51,2671,845,780,0,0
38557,17,3,1,3,42,2716,118,91,0,0
89058,18,5,4,4,60,2728,807,764,0,0
77298,46,6,6,11,41,2398,890,811,0,0
68126,40,7,4,5,29,2755,1734,1648,1,1
57288,27,8,1,8,57,2163,548,488,1,0
86037,95,6,7,11,29,2702,708,686,2,1
43974,19,6,4,6,40,2723,479,407,0,0
50785,27,2,1,3,58,2451,87,60,0,0
90765,25,4,6,5,50,2315,1691,1658,2,0
36550,74,9,1,5,42,2654,457,337,0,0
30753,85,1,1,3,53,2512,51,21,0,0
21918,37,2,0,3,51,2386,30,27,0,0
56129,65,6,2,10,67,2533,612,564,0,0
32557,13,2,1,3,53,2284,70,60,0,1
19510,63,1,0,3,35,2457,23,16,0,0
30992,83,1,0,3,44,2592,41,39,0,0
101970,69,6,8,13,37,2633,967,799,3,1
71488,87,3,4,7,55,2655,387,215,0,0
79607,37,3,6,6,36,2593,1707,1491,0,1
54348,51,2,0,4,67,2180,86,82,0,0
77376,72,6,3,10,64,2209,649,637,0,0
62998,10,5,4,5,68,2431,405,347,0,0
61331,42,11,1,6,62,2635,591,550,0,0
73448,10,7,2,9,51,2298,595,465,0,0
41551,51,5,1,5,56,2478,256,233,0,0
62981,21,4,5,13,53,2628,1482,1482,1,0
9548,31,1,0,3,44,2849,20,11,0,0
33762,61,2,2,2,61,2516,90,74,0,0
35860,37,1,1,2,47,2200,29,9,1,1
36921,74,2,0,3,55,2495,34,30,0,0
92859,46,5,4,12,28,2777,2057,2037,0,0
65104,4,3,5,7,44,2386,1003,953,0,1
86111,73,5,7,10,58,2595,1259,1133,0,0
68352,47,8,5,9,46,2464,838,805,0,0
41883,13,4,2,3,32,2626,196,80,0,0
59809,36,3,3,6,44,2778,828,779,0,0
23957,47,2,0,3,45,2768,52,36,0,1
38547,49,1,0,2,39,2464,18,14,0,0
35688,94,4,1,4,47,2835,179,147,0,0
49605,65,2,1,4,54,2167,119,111,0,0
59354,59,4,4,7,67,2225,446,433,0,0
65747,96,8,1,6,51,2273,447,434,1,0
46344,28,7,1,5,48,2721,338,247,0,0
34176,12,3,0,4,32,2207,69,49,0,0
61010,57,8,5,11,68,2787,945,869,0,0
69372,10,10,4,6,71,2654,1339,1297,2,1
49967,4,6,1,5,62,2515,303,300,0,0
60199,49,0,0,3,42,2449,18,18,0,0
55375,3,1,1,6,43,2414,148,134,0,0
80317,64,3,4,10,65,2472,1174,1117,0,0
30523,0,1,0,2,62,2522,8,3,0,0
70356,20,10,6,9,75,2760,1673,1640,0,0
23228,91,3,0,4,36,2334,116,111,0,0
74165,9,5,4,10,45,2583,1281,1269,0,0
