Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall,Response
58138,1058,635,88,546,172,88,88,8,10,4,0,0,0,0,0,63,2822,1529,1441,0,1
46344,1038,11,1,6,2,1,6,1,1,2,0,0,0,0,0,66,2272,21,15,0,0
71613,1026,426,49,127,111,21,42,8,2,10,0,0,0,0,0,55,2471,734,692,0,0
26646,1026,11,4,20,10,3,5,2,0,4,0,0,0,0,0,36,2298,48,43,0,0
58293,1094,173,43,118,46,27,15,5,3,6,0,0,0,0,0,39,2320,407,392,0,0
62513,1016,520,42,98,0,42,14,6,4,10,0,0,0,0,0,53,2452,702,688,0,0
55635,1034,235,65,164,50,49,27,7,3,7,0,0,0,0,0,49,2752,563,536,0,0
33454,1032,76,10,56,3,1,23,4,0,4,0,0,0,0,0,35,2576,146,123,0,0
30351,1019,14,0,24,3,3,2,3,0,2,0,0,0,0,0,46,2547,44,42,0,1
5648,1068,28,0,6,1,1,13,1,0,0,1,0,0,0,0,70,2267,36,23,1,0
7500,1059,6,16,11,11,1,16,2,0,3,0,0,0,0,0,44,2752,45,29,0,0
63033,1082,194,61,480,225,112,30,3,4,8,0,0,0,0,0,61,2385,1072,1042,0,0
59354,1053,233,2,53,3,5,14,6,1,5,0,0,0,0,0,68,2385,296,282,0,0
17323,1038,3,14,17,6,1,5,1,0,3,0,0,0,0,0,33,2786,41,36,0,0
82800,1023,1006,22,115,59,68,45,7,6,12,0,0,1,1,0,74,2741,1270,1225,2,1
41850,1051,53,5,19,2,13,4,3,0,3,0,0,0,0,0,40,2711,92,88,0,0
37760,1020,84,5,38,150,12,28,4,1,6,0,0,0,0,0,74,2826,289,261,0,0
76995,1091,1012,80,498,0,16,176,11,4,9,0,0,0,1,0,71,2617,1606,1430,1,0
33812,1086,4,17,19,30,24,39,2,1,3,0,0,0,0,0,35,2762,94,55,0,0
37040,1041,86,2,73,69,38,48,4,2,5,0,0,0,0,0,38,2849,268,220,0,0
2447,1042,1,1,1725,1,1,1,0,28,0,0,0,0,0,0,41,2698,1729,1728,0,0
58607,1063,867,0,86,0,0,19,2,3,9,0,1,0,0,0,71,2712,953,934,1,0
65324,1000,384,0,102,21,32,5,6,2,9,0,0,0,0,0,66,2328,539,534,0,0
40689,1069,270,3,27,39,6,99,7,1,5,0,0,0,0,0,69,2627,345,246,0,0
18589,1089,6,4,25,15,12,13,2,1,3,0,0,0,0,0,51,2702,62,49,0,0
53359,1004,173,4,30,3,6,41,5,1,4,0,0,0,0,0,44,2557,216,175,0,0
38360,1026,36,2,42,20,21,10,2,1,4,0,0,0,0,0,31,2553,121,111,0,0
84618,1096,684,100,801,21,66,0,6,9,10,0,0,1,0,0,55,2378,1672,1672,1,0
10979,1034,8,4,10,2,2,4,3,0,3,0,0,0,0,0,31,2197,26,22,0,0
