Sub Classification,Brand,Dosage Form,Unit of Measure ,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight ,Freight Cost
72,82,84,30,19,551,29,0.97,13,780.34
80,71,79,240,1000,6200,6.2,0.03,358,4521.5
72,68,84,100,500,40000,80,0.8,171,1653.78
65,71,84,60,31920,127360.8,3.99,0.07,1855,16007.06
65,71,67,60,38000,121600,3.2,0.05,7590,45450.08
80,71,79,240,416,2225.6,5.35,0.02,504,5920.42
65,71,84,60,16667,60834.55,3.65,0.06,1478,6212.41
72,85,84,20,2500,100000,40,2,853,13569.49
65,71,84,60,10000,99800,9.98,0.17,7416,64179.42
72,68,84,100,750,60000,80,0.8,256,1760.32
72,70,84,30,2000,33000,16.5,0.55,710,3120.7
80,86,80,200,712,8964.08,12.59,0.06,162,912.96
72,68,84,100,1000,80000,80,0.8,341,2682.47
72,83,84,20,7500,202500,27,1.35,2278,15893.71
80,71,79,240,1000,1920,1.92,0.01,941,4193.49
65,65,84,120,500,41095,82.19,0.68,117,1767.38
72,68,84,100,750,53992.5,71.99,0.72,171,3518.38
72,79,84,100,25,8750,350,3.5,60,3097.85
72,66,84,25,10000,200000,20,0.8,3335,27869.74
72,66,84,25,10000,200000,20,0.8,3335,28461.1
72,66,84,25,10000,200000,20,0.8,3335,28359.8
65,71,67,60,64000,99200,1.55,0.03,4228,12237.61
72,83,84,20,10000,270000,27,1.35,3263,20885.78
65,86,84,30,1000,17000,17,0.57,76,2282.57
65,71,84,60,400,3352,8.38,0.14,23,2149.05
72,71,84,100,1500,15,0.01,0,99,0.75
72,71,84,40,476,36176,76,1.9,509,5446.51
72,66,84,25,659,13180,20,0.8,206,2656.12
72,71,84,100,213,2.13,0.01,0,14,360
72,68,84,100,1634,117631.66,71.99,0.72,373,4112.46
72,83,84,20,1425,38475,27,1.35,483,5468.88
72,68,84,100,142,10222.58,71.99,0.72,33,1715.17
65,71,84,30,8400,96432,11.48,0.38,654,4051.34
80,86,67,60,400,2800,7,0.12,81,2211.05
72,68,84,100,5498,439785.02,79.99,0.8,1251,16090.22
65,71,84,30,1344,18359.04,13.66,0.46,1537,13507.92
65,86,68,30,2597,61470.99,23.67,0.79,117,645.1
72,79,84,100,28,9800,350,3.5,109,782.13
72,67,84,100,84,11676,139,1.39,54,871.57
65,71,84,60,38640,92736,2.4,0.04,2719,18614.72
65,67,84,540,34,1547.68,45.52,0.08,115,1755.87
65,71,67,60,42000,60900,1.45,0.02,2600,10179.16
65,71,84,30,16800,171192,10.19,0.34,1224,4686.88
77,80,84,25,98,3675,37.5,1.5,34,180
72,68,84,100,4500,323955,71.99,0.72,1053,11062.05
72,71,84,40,500,38000,76,1.9,562,11298.13
65,71,84,12,25000,9750,0.39,0.03,1708,12830.91
72,68,84,100,150,10798.5,71.99,0.72,46,2698.04
72,85,84,2,15,450,30,15,1,578.01
72,66,84,25,319,6380,20,0.8,100,1122.24
65,65,84,30,50000,2520000,50.4,1.68,4093,9339
77,71,73,100,140,2731.4,19.51,0.2,5209,25405.22
72,85,84,20,5700,182400,32,1.6,1906,23914.8
65,71,84,60,5964,51350.04,8.61,0.14,3509,12835.2
65,71,84,60,10560,72864,6.9,0.12,924,4225.93
65,71,84,60,2352,20250.72,8.61,0.14,211,892.5
80,75,79,300,524,21536.4,41.1,0.14,644,6668.61
72,70,84,30,8249,185602.5,22.5,0.75,2800,12595.81
65,86,68,30,200,4734,23.67,0.79,11,463
80,86,67,60,80,760,9.5,0.16,43,260
80,71,84,60,46,472.88,10.28,0.17,10,893.22
72,79,84,100,20,7000,350,3.5,48,1172.11
65,65,84,120,10240,420864,41.1,0.34,2523,14806.48
65,78,67,336,400,15344,38.36,0.11,175,7642.97
72,79,84,100,60,21000,350,3.5,144,3128.19
72,68,84,100,7500,600000,80,0.8,2215,16835.31
72,68,84,100,6395,511600,80,0.8,1915,24514.33
65,71,84,30,55356,386384.88,6.98,0.23,4482,37404.74
72,71,84,40,1000,110000,110,2.75,1101,8074.03
65,78,67,336,8,613.76,76.72,0.23,48,3366.04
65,71,84,60,3500,39025,11.15,0.19,1804,6341.88
72,79,84,100,5,1750,350,3.5,12,684.42
72,67,84,25,67,5025,75,3,48,401.97
80,86,67,60,400,2800,7,0.12,148,14.36
72,85,84,20,220,7040,32,1.6,79,1736.18
72,71,84,40,147,11076.45,75.35,1.88,165,1816.57
72,79,84,100,6,2400,400,4,15,1039.5
80,86,67,60,2800,19600,7,0.12,555,3292.15
72,79,84,100,15,6000,400,4,36,1195.29
65,71,84,60,894,2994.9,3.35,0.06,479,4861.14
65,71,84,60,25100,276100,11,0.18,2575,18772.94
65,71,67,60,95500,144205,1.51,0.03,9170,42453.21
72,85,84,20,900,36000,40,2,316,4989.87
65,71,84,60,70000,525000,7.5,0.12,6813,31858.09
65,71,84,60,25000,187500,7.5,0.12,2348,21439.59
72,71,84,40,375,28500,76,1.9,402,4445.75
